key,press,release
key.t,733.457396,733.6183550000001
key.h,734.3873020000001,734.533217
key.e,734.519226,734.6944080000001
key.space,740.499545,740.645389
key.backspace,742.534978,742.666901
key.backspace,742.7108760000001,742.85636
key.backspace,743.090216,743.1773900000001
key.backspace,743.294347,743.378319
key.caps_lock,743.845439,743.9917
key.t,744.166598,744.2834660000001
key.caps_lock,744.2844650000001,744.400331
key.h,744.488296,744.6002510000001
key.e,744.6152420000001,744.7471850000001
key.space,744.776188,744.922355
key.w,746.115629,746.247143
key.o,746.305109,746.5242350000001
key.r,746.5392270000001,746.656281
key.d,746.7872060000001,746.900156
key.space,746.929127,747.0460750000001
key.a,754.074595,754.2055200000001
key.s,754.264501,754.3957700000001
key.t,754.6582390000001,754.775158
key.r,754.833125,754.964471
key.o,756.2266020000001,756.314551
key.n,756.475459,756.577384
key.a,756.6943170000001,756.796272
key.u,756.8252570000001,756.95718
key.t,757.044131,757.161062
key.space,757.887644,758.019567
key.d,758.9050870000001,759.022022
key.e,759.154944,759.270876
key.r,759.373816,759.460766
key.i,760.0994000000001,760.2010680000001
key.v,760.230051,760.362975
key.e,760.552865,760.683789
key.s,760.971406,761.103868
key.space,761.176811,761.3077350000001
key.f,761.614897,761.7308300000001
key.r,761.789796,761.906728
key.o,762.0336540000001,762.17957
key.m,762.223565,762.3405160000001
key.space,762.4865120000001,762.588473
key.t,762.661431,762.7783830000001
key.h,762.779383,762.895396
key.e,762.9974540000001,763.139412
key.space,763.1973780000001,763.300339
key.caps_lock,763.67924,763.796192
key.g,763.8841610000001,764.002114
key.caps_lock,763.972129,764.0590980000001
key.r,764.177051,764.2790110000001
key.e,764.317989,764.406957
key.e,764.4939260000001,764.6108780000001
key.l,764.6698630000001,764.80055
key.backspace,765.818333,765.9352660000001
key.k,765.906297,766.052237
key.space,767.0264370000001,767.1283970000001
key.w,767.8410140000001,767.9429640000001
key.o,767.986938,768.073252
key.r,768.132288,768.220236
key.d,768.366172,768.4821380000001
key.s,768.614082,768.7160620000001
key.space,768.745047,768.8769540000001
key.m,769.0482890000001,769.179884
key.e,769.179884,769.28224
key.n,769.369233,769.4862360000001
key.a,769.530211,769.647827
key.backspace,770.168533,770.256482
key.backspace,770.3294400000001,770.417372
key.a,770.4753390000001,770.6073240000001
key.n,770.753688,770.899617
key.i,771.01655,771.1624850000001
key.n,771.1624850000001,771.304443
key.g,771.36244,771.479357
key.space,772.936173,773.0371170000001
key.s,773.154293,773.2712250000001
key.t,773.387159,773.504092
key.a,773.534074,773.6610000000001
key.r,773.7049750000001,773.836899
key.space,774.0847560000001,774.2016880000001
key.a,774.333613,774.4929840000001
key.n,774.522966,774.669881
key.d,774.8118000000001,774.9281970000001
key.space,775.484283,775.570233
key.s,775.702565,775.8194970000001
key.a,775.9214380000001,776.0343730000001
key.i,776.092355,776.180289
key.l,776.32622,776.414169
key.o,776.589053,776.676003
key.r,776.705986,776.808926
key.period,778.1767000000001,778.2739680000001
key.space,778.3039510000001,778.4499870000001
key.caps_lock,778.6688620000001,778.815776
key.t,778.8737430000001,778.9616910000001
key.caps_lock,778.9467010000001,779.03465
key.h,779.1515820000001,779.2535250000001
key.e,779.282506,779.386462
key.s,780.1256870000001,780.2286270000001
key.e,780.4035110000001,780.520336
key.space,781.6981020000001,781.8250280000001
key.m,782.292948,782.410558
key.e,782.395569,782.5274900000001
key.n,783.647859,783.735808
key.space,783.8667330000001,783.939691
key.a,783.969674,784.0716150000001
key.n,784.1115920000001,784.198529
key.d,784.2425020000001,784.3884320000001
key.space,785.5237890000001,785.654716
key.w,785.932352,786.0932620000001
key.o,786.0942620000001,786.283885
key.m,786.239191,786.385839
key.e,786.385839,786.556727
key.n,786.5417490000001,786.644674
key.space,789.8043640000001,790.092197
key.-,790.6328880000001,790.7198340000001
key.-,791.285796,791.387737
key.space,791.679569,791.8254850000001
key.caps_lock,792.274226,792.420143
key.a,792.4931,792.6390170000001
key.caps_lock,792.68299,792.799923
key.l,792.9618310000001,793.0927700000001
key.a,793.194695,793.3111080000001
key.n,793.3840660000001,793.482025
